id,name,brandid,categoryid,price
1,strawberry cone,1,1,30
2,vanila cone,1,1,30
3,chocolate cone,1,1,30
4,strawberry cup,1,2,15
5,vanila cup,1,2,15
6,chocolate cup,1,2,15
7,strawberry stick,1,3,25
8,vanila stick,1,3,25
9,chocolate stick,1,3,25
10,blueberry stick,1,3,25
11,vanila pack,1,4,125
12,chocolate pack,1,4,125
13,strawberry pack,1,4,125
14,sticks,1,5,20
15,juice,1,5,35
16,Choco Block,2,1,70
17,Turbo (Chocolate Disc),2,1,50
18,Dark Chocolate,2,1,40
19,Choco Brownle,2,1,40
20,Kesar Pistachio,2,1,40
21,Kulfi Cone,2,1,35
22,Cookies N Cream,2,1,35
23,Mango,2,1,30
24,Butter Scotch,2,1,30
25,Chocolate,2,1,30
26,Yummy Strawberry,2,1,30
27,Choco Vanilla,2,1,25
28,Choco Pops,2,1,20
29,Havmor (Butter Scotch),2,1,20
30,Chic Choc,2,1,20
31,Ringo Bingo,2,1,15
32,Havmor Kulfi (Simply Tubs),2,3,300
33,Travel,2,3,50
34,Malai Kulfi (Roll Cut),2,3,40
35,Dryfruit Rabdi,2,3,30
36,Chowpats,2,3,30
37,Malal Kulfi (SugarFree),2,3,30
38,Raj Bhog,2,3,30
39,Mava Tillewali,2,3,25
40,Mava Tillewali,2,3,25
41,Shahi,2,3,20
42,Bombay,2,3,20
43,Chocolate Chips,2,2,50
44,American Nuts,2,2,40
45,Premium Butter Scotch,2,2,35
46,Vanilla,2,2,25
47,Choco Brownie Sundae,2,2,35
48,Choco Sundae,2,2,25
49,Strawberry Sundae,2,2,25
50,Mango Sundae,2,2,25
51,Kesar Pista,2,2,35
52,Raj Bhog,2,2,35
53,Kaju Draksh,2,2,30
54,Butter Scotch,2,2,25
55,Strawberry,2,2,15
56,Tutti Frutti,2,2,15
57,Vanilla,2,2,15
58,chocolateLite,2,4,495
59,shotties,2,4,81
60,almond carnival,2,4,315
61,biscute,2,5,55
62,roll,2,5,45
63,choco mocha,3,1,40
64,butterscoch,3,1,30
65,choco balst,3,1,30
66,choco vanila,3,1,25
67,mini choco,3,1,15
68,mega bar,3,3,30
69,choco almond crush,3,3,30
70,choco treat,3,3,25
71,pure milk,3,2,35
72,dark chocolate,3,2,40
73,honey caramal,3,2,30
74,strawberry,3,2,25
75,chocolate cheese,3,4,550
76,vanila white milk,3,4,350
77,honey,3,4,450
78,biscute sandwich,3,5,45
79,crispy roll,3,5,60
80,Flingo belgian chocolate,4,1,50
81,cookie disc,4,1,55
82,dark chocolate,4,1,50
83,nut chocolate,4,1,60
84,prurple chocolate,4,2,35
85,blueberry,4,2,30
86,dark pineapple,4,2,25
87,chocobar,4,3,25
88,kulfi  ,4,3,35
